date,seller_id,impressions,clicks,CTR,conversions,CVR,revenue,CPC,spend,ROAS,three_month_ROAS_rolling_average
2023-11,S0004,92911,1799,1.94,62,3.45,2120.1,1.178,6352.98,3,3.21
2023-12,S0004,108219,1834,1.69,65,3.54,2285.55,1.246,6947.67,3.04,3.13
2024-01,S0004,4166,74,1.78,1,1.35,36.34,0.491,86.45,2.38,3.11
2023-01,S0005,274611,6577,2.40,350,5.32,52947.86,8.05,175975.26,3.32,NULL
2023-02,S0005,610940,15281,2.50,756,4.95,111879.43,7.321,348773.02,3.12,3.32
2023-03,S0005,807380,18488,2.29,962,5.20,142974.04,7.733,452762.59,3.17,3.18
2023-04,S0005,1348983,26524,1.97,1195,4.51,177335.54,6.686,568134.1,3.2,3.18
2023-05,S0005,1476835,28710,1.94,1337,4.66,201415.1,7.016,625966.39,3.11,3.17
2023-06,S0005,1545315,32885,2.13,1459,4.44,215791.84,6.562,687402.59,3.19,3.16
2023-07,S0005,1325272,28210,2.13,1349,4.78,202794.67,7.189,653121.51,3.22,3.16
2023-08,S0005,1374221,28523,2.08,1250,4.38,190531.15,6.68,603199.83,3.17,3.17
2023-09,S0005,1614834,32640,2.02,1525,4.67,228229.04,6.992,712133.32,3.12,3.19
2023-10,S0005,2143237,45736,2.13,2219,4.85,334992.57,7.324,1041760.16,3.11,3.17
2023-11,S0005,2754955,62951,2.29,2789,4.43,416158.57,6.611,1368466.71,3.29,3.13
2023-12,S0005,2296498,50355,2.19,2243,4.45,332393.43,6.601,1039963.31,3.13,3.19
2024-01,S0005,1665978,33713,2.02,1566,4.65,238667.99,7.079,726473.28,3.04,3.18
2024-02,S0005,821940,14161,1.72,564,3.98,85444.41,6.034,279856.54,3.28,3.18
2024-03,S0005,528704,10669,2.02,468,4.39,70064.5,6.567,217457.03,3.1,3.12
2024-04,S0005,319721,7293,2.28,332,4.55,50141.86,6.875,156957.65,3.13,3.1
2024-05,S0005,365777,7507,2.05,355,4.73,53161.93,7.082,164041.94,3.09,3.18
2024-06,S0005,107419,2253,2.10,101,4.48,15784.69,7.006,51780.57,3.28,3.11
2023-01,S0006,579254,9247,1.60,319,3.45,57165.32,6.182,193352.16,3.38,NULL
2023-02,S0006,1164291,20201,1.74,745,3.69,137753.97,6.819,435471.13,3.16,3.38
2023-03,S0006,1438861,27035,1.88,1083,4.01,193931.7,7.173,606853.93,3.13,3.23
2023-04,S0006,1876566,37273,1.99,1599,4.29,286921.17,7.698,968195.26,3.37,3.18
2023-05,S0006,2258606,42565,1.88,2044,4.80,367638.68,8.637,1175564.99,3.2,3.25
2023-06,S0006,2353669,45682,1.94,1954,4.28,352869.51,7.724,1170908.74,3.32,3.24
2023-07,S0006,2030219,41955,2.07,1959,4.67,356543.21,8.498,1112742.84,3.12,3.29
2023-08,S0006,2783885,49268,1.77,2142,4.35,386835.14,7.852,1273065.14,3.29,3.21
2023-09,S0006,2967408,57737,1.95,2413,4.18,430283.79,7.452,1369343.18,3.18,3.24
2023-10,S0006,2788864,57584,2.06,2608,4.53,467895.53,8.125,1429717.27,3.06,3.2
2023-11,S0006,3371536,68326,2.03,3044,4.46,558044.04,8.167,1592992.27,2.85,3.17
2023-12,S0006,3637688,70455,1.94,2945,4.18,541054.29,7.679,1648777.47,3.05,3.02
2024-01,S0006,2560753,47502,1.86,1962,4.13,347873.73,7.323,1113155.05,3.2,2.98
2024-02,S0006,1345049,22728,1.69,861,3.79,155085.4,6.824,481753.61,3.11,3.01
2024-03,S0006,1494056,26088,1.75,1047,4.01,188096.31,7.21,602939.84,3.21,3.11
2024-04,S0006,1558292,26784,1.72,1001,3.74,182047.54,6.797,587588.63,3.23,3.18
2024-05,S0006,1563047,27806,1.78,1023,3.68,183812.15,6.611,554054.68,3.01,3.18
2024-06,S0006,451237,8376,1.86,330,3.94,61066.49,7.291,174703.02,2.86,3.15
2023-04,S0007,26714,424,1.59,16,3.77,632.52,1.492,1905.9,3.01,NULL
2023-05,S0007,97999,1680,1.71,55,3.27,2088.41,1.243,6302.58,3.02,3.01
2023-06,S0007,137180,2386,1.74,86,3.60,3324.21,1.393,10599.82,3.19,3.02
2023-07,S0007,120717,2007,1.66,75,3.74,2890.46,1.44,9074.44,3.14,3.11
2023-08,S0007,127002,2151,1.69,81,3.77,3080.83,1.432,9950.55,3.23,3.13
2023-09,S0007,132843,2198,1.65,80,3.64,3131.02,1.424,9924.55,3.17,3.19
2023-10,S0007,151708,2581,1.70,106,4.11,4068.18,1.576,13491.63,3.32,3.18
2023-11,S0007,178631,2732,1.53,93,3.40,3599.57,1.318,11571.95,3.21,3.25
2023-12,S0007,164611,2820,1.71,109,3.87,4158.25,1.475,13319.86,3.2,3.24
2024-01,S0007,184742,3105,1.68,137,4.41,5288.65,1.703,16783.74,3.17,3.25
2024-02,S0007,119383,1987,1.66,87,4.38,3356.46,1.689,10514.21,3.13,3.19
2024-03,S0007,111479,1997,1.79,80,4.01,3084.7,1.545,9341.96,3.03,3.17
2024-04,S0007,62514,1193,1.91,47,3.94,1795.27,1.505,5641.71,3.14,3.12
2024-05,S0007,49817,925,1.86,36,3.89,1381.31,1.493,4200.96,3.04,3.1
2023-01,S0008,26575,400,1.51,13,3.25,412.36,1.031,1323.53,3.21,NULL
2023-02,S0008,20120,316,1.57,10,3.16,304.81,0.965,1036.46,3.4,3.21
2023-03,S0008,25773,448,1.74,17,3.79,524.48,1.171,1526,2.91,3.29
2023-04,S0008,31465,536,1.70,18,3.36,569.28,1.062,1817.94,3.19,3.13
2023-05,S0008,20645,406,1.97,15,3.69,472.95,1.165,1530.9,3.24,3.13
2023-06,S0008,30015,653,2.18,19,2.91,581.38,0.89,2060.59,3.54,3.11
2023-07,S0008,29654,602,2.03,17,2.82,538.52,0.895,1726.11,3.21,3.33
2023-08,S0008,13765,298,2.16,10,3.36,299.42,1.005,984.89,3.29,3.34
2023-09,S0008,14484,328,2.26,13,3.96,423.91,1.292,1282.55,3.03,3.36
2023-10,S0008,16815,366,2.18,16,4.37,488.68,1.335,1556.43,3.18,3.16
2023-11,S0008,21314,494,2.32,21,4.25,654.11,1.324,2230.23,3.41,3.15
2023-12,S0008,23567,514,2.18,24,4.67,734.66,1.429,2246.57,3.06,3.24
2024-01,S0008,17294,414,2.39,17,4.11,540.67,1.306,1574.54,2.91,3.21
2024-02,S0008,11729,246,2.10,6,2.44,186.3,0.757,609.63,3.27,3.14
2024-03,S0008,13689,306,2.24,12,3.92,365.18,1.193,1197.47,3.28,3.03
2024-04,S0008,14301,345,2.41,18,5.22,573.2,1.661,1931.72,3.37,3.1
2024-05,S0008,15222,350,2.30,14,4.00,436.92,1.248,1158.6,2.65,3.32
2024-06,S0008,14438,336,2.33,11,3.27,358.5,1.067,1155.9,3.22,3.12
2023-07,S0009,10599,206,1.94,12,5.83,465.76,2.261,1544.38,3.32,NULL
2023-08,S0009,56681,1139,2.01,44,3.86,1659.15,1.457,5139.24,3.1,3.32
2023-09,S0009,61731,1215,1.97,53,4.36,2064.1,1.699,6512.11,3.15,3.15
2023-10,S0009,28016,582,2.08,24,4.12,880.89,1.514,2643.05,3,3.15
2024-05,S0009,20881,362,1.73,9,2.49,360.35,0.995,1093.74,3.04,3.1
2024-06,S0009,9829,174,1.77,4,2.30,164.2,0.944,512.27,3.12,3.1
2023-01,S0010,23867,351,1.47,11,3.13,370.42,1.055,1259.61,3.4,NULL
2023-02,S0010,20812,337,1.62,11,3.26,359.44,1.067,1164.44,3.24,3.4
2023-03,S0010,27003,466,1.73,15,3.22,482.86,1.036,1571.49,3.25,3.32
2023-04,S0010,62421,1106,1.77,39,3.53,1309.72,1.184,4141.39,3.16,3.29
2023-05,S0010,70169,1252,1.78,42,3.35,1383.41,1.105,4403.75,3.18,3.2
2023-06,S0010,74024,1381,1.87,51,3.69,1682.09,1.218,5248.78,3.12,3.19
2023-07,S0010,66055,1313,1.99,53,4.04,1780.04,1.356,5960.16,3.35,3.15
2023-08,S0010,66631,1261,1.89,48,3.81,1586.61,1.258,4570.25,2.88,3.22
2023-09,S0010,88607,1611,1.82,59,3.66,1998.8,1.241,6404.63,3.2,3.13
2023-10,S0010,100238,1842,1.84,68,3.69,2250.76,1.222,6982.72,3.1,3.16
2023-11,S0010,128062,2325,1.82,89,3.83,2993.71,1.288,9823.55,3.28,3.08
2023-12,S0010,136897,2376,1.74,96,4.04,3189.24,1.342,9713.49,3.05,3.2
2024-01,S0010,78406,1627,2.08,64,3.93,2145.97,1.319,6729.04,3.14,3.14
2024-02,S0010,51866,1012,1.95,29,2.87,947.15,0.936,2834.52,2.99,3.15
2024-03,S0010,58234,1159,1.99,41,3.54,1354.16,1.168,4394.8,3.25,3.07
2024-04,S0010,61055,1087,1.78,36,3.31,1190.93,1.096,3741.29,3.14,3.14
2024-05,S0010,44601,869,1.95,37,4.26,1245.77,1.434,3999.26,3.21,3.14
2024-06,S0010,20597,497,2.41,26,5.23,860.3,1.731,2710.34,3.15,3.2
2023-01,S0011,741589,14513,1.96,546,3.76,89961.77,6.199,281202.03,3.13,NULL
2023-02,S0011,1472556,28339,1.92,1054,3.72,175328.19,6.187,547030.84,3.12,3.13
2023-03,S0011,2522276,43896,1.74,1757,4.00,289590.3,6.597,865873.81,2.99,3.12
2023-04,S0011,2832079,49873,1.76,1948,3.91,318871.43,6.394,962579.32,3.02,3.05
2023-05,S0011,3074314,54034,1.76,2127,3.94,350807.04,6.492,1088338.64,3.1,3.03
2023-06,S0011,1966672,36287,1.85,1467,4.04,245367.05,6.762,801291.41,3.27,3.04
2023-07,S0011,1548573,28581,1.85,1125,3.94,185565.82,6.493,571689.93,3.08,3.12
2023-08,S0011,1810242,32076,1.77,1292,4.03,209561.17,6.533,647962.7,3.09,3.15
2023-09,S0011,3229213,57120,1.77,2328,4.08,380249.88,6.657,1184924.17,3.12,3.16
2023-10,S0011,3714720,66459,1.79,2592,3.90,434812.1,6.543,1367535.36,3.15,3.1
2023-11,S0011,4692719,83143,1.77,3397,4.09,564830.09,6.793,1842647.02,3.26,3.12
2023-12,S0011,5359607,96527,1.80,4002,4.15,656585.61,6.802,2141505.55,3.26,3.19
2024-01,S0011,4033715,72492,1.80,2805,3.87,461378.42,6.365,1434890.22,3.11,3.23
2024-02,S0011,2626262,46619,1.78,1852,3.97,309201.82,6.633,935007.11,3.02,3.22
2024-03,S0011,2934067,53880,1.84,2172,4.03,351586.81,6.525,1137271.49,3.23,3.16
2024-04,S0011,2899418,52343,1.81,2017,3.85,332906.7,6.36,1095929.11,3.29,3.13
2024-05,S0011,1324658,22422,1.69,874,3.90,144208.23,6.432,477913.89,3.31,3.19
2023-01,S0012,60476,1126,1.86,45,4.00,2180.73,1.937,6933.21,3.18,NULL
2023-02,S0012,84049,1655,1.97,77,4.65,3880.55,2.345,12381.56,3.19,3.18
2023-03,S0012,127960,2296,1.79,96,4.18,4747.59,2.068,15435.66,3.25,3.19
2023-04,S0012,269246,4627,1.72,189,4.08,9230.03,1.995,29373.2,3.18,3.21
2023-05,S0012,298151,5365,1.80,213,3.97,10540.82,1.965,31234.88,2.96,3.2
2023-06,S0012,323488,5828,1.80,229,3.93,11275.77,1.935,34679.53,3.08,3.1
2023-07,S0012,323767,5900,1.82,235,3.98,11431.89,1.938,35501.27,3.11,3.07
2023-08,S0012,335881,6048,1.80,233,3.85,11538.37,1.908,35726.37,3.1,3.05
2023-09,S0012,342065,5900,1.72,229,3.88,11056.21,1.874,35431.13,3.2,3.09
2023-10,S0012,338543,6298,1.86,251,3.99,12244.92,1.944,40262.69,3.29,3.13
2023-11,S0012,302102,5010,1.66,205,4.09,10007.59,1.998,31929.16,3.19,3.2
2023-12,S0012,329851,6060,1.84,242,3.99,11598.42,1.914,35438.83,3.06,3.23
2024-01,S0012,107805,2092,1.94,83,3.97,4060.04,1.941,12251.02,3.02,3.18
2024-02,S0012,46630,792,1.70,35,4.42,1693.38,2.138,5318.13,3.14,3.1
2024-03,S0012,53050,995,1.88,44,4.42,2140.02,2.151,6932.36,3.24,3.05
2024-04,S0012,55335,1047,1.89,49,4.68,2404.25,2.296,7153.93,2.98,3.1
2024-05,S0012,58374,1049,1.80,45,4.29,2305.57,2.198,6943.69,3.01,3.11
2023-05,S0013,99975,2360,2.36,123,5.21,5920.22,2.509,19029.03,3.21,NULL
2023-06,S0013,170018,3579,2.11,183,5.11,8976.73,2.508,29159.51,3.25,3.21
2023-07,S0013,148399,3276,2.21,140,4.27,6886.08,2.102,21139.55,3.07,3.23
2023-08,S0013,139636,3059,2.19,139,4.54,6847.7,2.239,21547.36,3.15,3.18
2023-09,S0013,88699,2035,2.29,110,5.41,5385.91,2.647,16005.04,2.97,3.16
2023-10,S0013,99604,2337,2.35,112,4.79,5556.21,2.377,17955.53,3.23,3.07
2023-11,S0013,129628,2788,2.15,127,4.56,6156.5,2.208,19293.14,3.13,3.12
2023-12,S0013,140514,3326,2.37,176,5.29,8591.35,2.583,26033.54,3.03,3.11
2024-01,S0013,110778,2405,2.17,114,4.74,5491.95,2.284,17584.57,3.2,3.12
2024-02,S0013,74183,1640,2.21,76,4.63,3742.54,2.282,12212.31,3.26,3.11
2024-03,S0013,83865,1888,2.25,91,4.82,4491.94,2.379,13630.33,3.03,3.13
2024-04,S0013,86050,2006,2.33,94,4.69,4504.51,2.246,13866.33,3.08,3.16
2024-05,S0013,80514,1839,2.28,94,5.11,4707.82,2.56,15332.59,3.26,3.12
2024-06,S0013,54699,1425,2.61,80,5.61,3921.29,2.752,12367.96,3.15,3.13
2023-02,S0014,13144,224,1.70,6,2.68,247.23,1.104,868.44,3.51,NULL
2023-03,S0014,21924,346,1.58,9,2.60,352.19,1.018,1084.24,3.08,3.51
2023-04,S0014,36741,667,1.82,29,4.35,1123.98,1.685,3415.43,3.04,3.26
2023-05,S0014,68305,1434,2.10,72,5.02,2816.97,1.964,9268.5,3.29,3.11
2023-06,S0014,70917,1664,2.35,89,5.35,3410.69,2.05,11655.9,3.42,3.21
2023-07,S0014,61912,1465,2.37,71,4.85,2753.67,1.88,8804.45,3.2,3.31
2023-08,S0014,64691,1440,2.23,66,4.58,2592.64,1.8,8282.22,3.19,3.31
2023-09,S0014,67719,1456,2.15,66,4.53,2548.58,1.75,7719.28,3.03,3.28
2023-10,S0014,78506,1670,2.13,80,4.79,3079.48,1.844,8891.43,2.89,3.14
2023-11,S0014,100820,2197,2.18,101,4.60,3904.78,1.777,11890.28,3.05,3.03
2023-12,S0014,111660,2447,2.19,117,4.78,4393.17,1.795,14636.6,3.33,2.99
2024-01,S0014,83182,1851,2.23,91,4.92,3566.56,1.927,10821.27,3.03,3.11
2024-02,S0014,41367,1095,2.65,56,5.11,2112.09,1.929,6266.53,2.97,3.15
2024-03,S0014,41471,980,2.36,47,4.80,1816.5,1.854,6049.22,3.33,3.15
2024-04,S0014,42280,1205,2.85,63,5.23,2456.86,2.039,7514.58,3.06,3.09
2024-05,S0014,16556,379,2.29,21,5.54,795.85,2.1,2269.42,2.85,3.11
2023-01,S0015,23262,493,2.12,25,5.07,873.58,1.772,2794.72,3.2,NULL
2023-02,S0015,27796,635,2.28,29,4.57,993.48,1.565,3050.55,3.07,3.2
2023-03,S0015,32566,742,2.28,35,4.72,1238.89,1.67,3638.23,2.94,3.13
2023-04,S0015,41334,969,2.34,43,4.44,1532.35,1.581,4840.75,3.16,3.05
2023-05,S0015,73582,1471,2.00,65,4.42,2244.94,1.526,6493.94,2.89,3.06
2023-06,S0015,36845,783,2.13,37,4.73,1265.06,1.616,3812.48,3.01,2.98
2023-07,S0015,34632,795,2.30,29,3.65,1031.34,1.297,3252.76,3.15,3
2023-08,S0015,44706,952,2.13,41,4.31,1442.14,1.515,4539.84,3.15,2.99
2023-09,S0015,44118,1074,2.43,53,4.93,1804.87,1.681,5748.31,3.18,3.1
2023-10,S0015,51021,1144,2.24,50,4.37,1748.67,1.529,5626.47,3.22,3.16
2023-11,S0015,68357,1509,2.21,76,5.04,2682.64,1.778,8355.78,3.11,3.19
2023-12,S0015,73832,1709,2.31,74,4.33,2599.08,1.521,8027.09,3.09,3.16
2024-01,S0015,55903,1263,2.26,62,4.91,2092.64,1.657,6216,2.97,3.13
2024-02,S0015,29243,611,2.09,32,5.24,1138.59,1.863,3325.22,2.92,3.06
2024-03,S0015,33217,739,2.22,30,4.06,1050.1,1.421,3287.52,3.13,3.01
2024-04,S0015,33916,738,2.18,38,5.15,1313.81,1.78,3856.86,2.94,3
2024-05,S0015,37822,768,2.03,33,4.30,1151.42,1.499,3581.97,3.11,2.99
2024-06,S0015,37972,961,2.53,43,4.47,1467.61,1.527,4292.02,2.92,3.05
2023-01,S0016,17609,280,1.59,11,3.93,366.23,1.308,1092.47,2.98,NULL
2023-02,S0016,40494,770,1.90,27,3.51,951.57,1.236,2918.85,3.07,2.98
2023-03,S0016,78561,1407,1.79,58,4.12,1989.75,1.414,6162.65,3.1,3.04
2023-04,S0016,78489,1414,1.80,53,3.75,1863.98,1.318,5958.22,3.2,3.08
2023-05,S0016,88308,1527,1.73,58,3.80,2022.81,1.325,6565.83,3.25,3.13
2023-06,S0016,89684,1557,1.74,60,3.85,2077.66,1.334,6103.65,2.94,3.18
2023-07,S0016,70372,1234,1.75,51,4.13,1762.58,1.428,5662.51,3.21,3.12
2023-08,S0016,96388,1674,1.74,62,3.70,2157.43,1.289,6897.88,3.2,3.13
2023-09,S0016,100966,1719,1.70,66,3.84,2303.98,1.34,7264.9,3.15,3.11
2023-10,S0016,115843,2096,1.81,84,4.01,2939.25,1.402,9309.21,3.17,3.19
2023-11,S0016,147998,2705,1.83,106,3.92,3717.98,1.374,12184.24,3.28,3.17
2023-12,S0016,153426,2823,1.84,114,4.04,3940.23,1.396,12896.23,3.27,3.21
2024-01,S0016,97586,1723,1.77,68,3.95,2349.07,1.363,7729.49,3.29,3.25
2024-02,S0016,48360,889,1.84,31,3.49,1070.51,1.204,3404.54,3.18,3.28
2024-03,S0016,38715,730,1.89,28,3.84,957.91,1.312,3041.72,3.18,3.27
2024-04,S0016,18960,353,1.86,17,4.82,586.93,1.663,1997.79,3.4,3.24
2024-01,S0017,13738,218,1.59,7,3.21,526.34,2.414,1704.95,3.24,NULL
2024-02,S0017,19952,369,1.85,14,3.79,970.71,2.631,3394.35,3.5,3.24
2024-03,S0017,20746,380,1.83,13,3.42,935.64,2.462,2740.57,2.93,3.41
2024-04,S0017,22557,444,1.97,16,3.60,1164.1,2.622,4002.26,3.44,3.22
2024-05,S0017,3096,77,2.49,2,2.60,145.81,1.894,382.67,2.62,3.3
2023-09,S0018,171225,2917,1.70,110,3.77,8290.5,2.842,29642.3,3.58,NULL
2023-10,S0018,206283,3859,1.87,139,3.60,10482.53,2.716,32562.3,3.11,3.58
2023-11,S0018,320565,5867,1.83,226,3.85,17361.52,2.959,54726.88,3.15,3.31
2023-12,S0018,304597,5586,1.83,209,3.74,16651.57,2.981,55952.47,3.36,3.24
2024-01,S0018,206452,4042,1.96,172,4.26,12954.16,3.205,42078.44,3.25,3.22
2024-02,S0018,142077,2579,1.82,93,3.61,7158.46,2.776,22953.71,3.21,3.25
2024-03,S0018,155871,2704,1.73,110,4.07,8324.51,3.079,25832.32,3.1,3.29
2024-04,S0018,156338,2752,1.76,132,4.80,10064.31,3.657,33546.42,3.33,3.2
2024-05,S0018,125409,2250,1.79,96,4.27,7205.81,3.203,21773.9,3.02,3.22
2023-01,S0019,38154,932,2.44,38,4.08,1815.65,1.948,6109.06,3.36,NULL
2023-02,S0019,53934,1145,2.12,58,5.07,2890.35,2.524,9668.25,3.35,3.36
2023-03,S0019,59956,1398,2.33,63,4.51,3126.43,2.236,9886.4,3.16,3.35
2023-04,S0019,63710,1319,2.07,66,5.00,3242.36,2.458,10768.33,3.32,3.28
2023-05,S0019,66606,1294,1.94,57,4.40,2795.95,2.161,9055.98,3.24,3.27
2023-06,S0019,66645,1597,2.40,70,4.38,3510.14,2.198,10536.46,3,3.24
2023-07,S0019,58975,1401,2.38,58,4.14,2834.25,2.023,8992.53,3.17,3.18
2023-08,S0019,61799,1367,2.21,66,4.83,3300.42,2.414,11402.24,3.45,3.13
2023-09,S0019,62414,1481,2.37,78,5.27,3732.46,2.52,10110.45,2.71,3.21
2023-10,S0019,74299,1645,2.21,78,4.74,3717.43,2.26,11506.47,3.1,3.09
2023-11,S0019,92255,2222,2.41,103,4.64,5116.35,2.303,16328.88,3.19,3.07
2023-12,S0019,103501,2402,2.32,117,4.87,6086.97,2.534,18883.62,3.1,3.02
2024-01,S0019,79173,1744,2.20,77,4.42,3780.71,2.168,11757.67,3.11,3.13
2024-02,S0019,52638,1244,2.36,62,4.98,2997.97,2.41,9988.76,3.33,3.13
2024-03,S0019,58288,1257,2.16,60,4.77,2864.85,2.279,8802.39,3.07,3.16
2024-04,S0019,59272,1130,1.91,46,4.07,2278.7,2.017,7440.13,3.27,3.17
2024-05,S0019,30003,622,2.07,29,4.66,1365.63,2.196,4093.43,3,3.22
2023-01,S0020,99895,2663,2.67,166,6.23,11860.99,4.454,33595.33,2.83,NULL
2023-02,S0020,99546,2181,2.19,124,5.69,8817.72,4.043,28573.45,3.24,2.83
2023-03,S0020,120875,2853,2.36,141,4.94,10296.14,3.609,30715.82,2.98,3.01
2023-04,S0020,113742,2612,2.30,137,5.25,9897.53,3.789,28395.47,2.87,3
2023-05,S0020,128808,3298,2.56,196,5.94,14042.6,4.258,42359.99,3.02,3.02
2023-06,S0020,127025,3055,2.41,133,4.35,9639.49,3.155,31669.73,3.29,2.96
2023-07,S0020,113609,2963,2.61,151,5.10,10814.12,3.65,33270.4,3.08,3.05
2023-08,S0020,67166,1720,2.56,109,6.34,7745.92,4.503,25642.38,3.31,3.11
2024-01,S0020,43286,1047,2.42,55,5.25,3981.35,3.803,12890.12,3.24,3.21
